ID,Faixa_etaria,Idade,Sexo,Genero,Cor_raca,Residencia_fixa,Tempo_rua_RJ,Voltar_cidade_natal
32,31 a 49,45,Feminino,Mulher Cis,Parda,Não,Mais de 15 anos,Não se aplica
33,70 a 79,75,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
34,31 a 49,40,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
35,50 a 59,53,Feminino,Mulher Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
36,31 a 49,36,Masculino,Homem Cis,Indígena,Não,Mais de 10 anos até 15 anos,Não se aplica
37,60 a 69,66,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
38,31 a 49,49,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Sim
39,31 a 49,36,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
40,31 a 49,35,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Sim
41,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
42,50 a 59,53,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não
43,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
44,60 a 69,61,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não
45,31 a 49,36,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
46,50 a 59,51,Masculino,Homem Cis,Parda,Não,NS/NR,Não se aplica
47,31 a 49,48,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
48,31 a 49,40,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não
49,18 a 30,28,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
50,12 a 17,17,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
51,31 a 49,48,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não
52,31 a 49,40,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Não
53,50 a 59,55,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não se aplica
54,18 a 30,30,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
55,12 a 17,12,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Não se aplica
56,18 a 30,26,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
57,50 a 59,56,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
58,18 a 30,30,Feminino,Mulher Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
59,60 a 69,64,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
60,18 a 30,23,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
61,18 a 30,24,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
62,50 a 59,58,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
63,31 a 49,35,Masculino,Homem Cis,Preta,Sim,Mais de 5 ano até 10 anos,Não se aplica
64,18 a 30,24,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
65,60 a 69,65,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não se aplica
66,50 a 59,50,Masculino,Homem Cis,Preta,Sim,Mais de 10 anos até 15 anos,Não
67,60 a 69,68,Masculino,Homem Cis,Indígena,Sim,Mais de 1 ano até 5 anos,Não
68,31 a 49,37,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
69,31 a 49,49,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
70,31 a 49,32,Masculino,Homem Cis,Branca,Sim,Mais de 5 ano até 10 anos,Não se aplica
71,60 a 69,60,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
72,31 a 49,46,Masculino,Homem Cis,Parda,NS/NR,Mais de 15 anos,Não se aplica
73,70 a 79,74,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não se aplica
74,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
75,31 a 49,48,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
76,31 a 49,35,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
77,31 a 49,39,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
78,18 a 30,20,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
79,18 a 30,19,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
80,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
81,31 a 49,34,Masculino,Homem Cis,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
82,18 a 30,21,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
83,12 a 17,15,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
84,60 a 69,64,Masculino,Homem Cis,Branca,Sim,Mais de 5 ano até 10 anos,Não se aplica
85,31 a 49,34,Masculino,Homem Cis,Parda,Não,NS/NR,Não se aplica
86,18 a 30,22,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
87,18 a 30,27,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não se aplica
88,18 a 30,23,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
89,31 a 49,31,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não
90,50 a 59,58,Feminino,Mulher Cis,Branca,Não,Mais de 15 anos,Sim
91,31 a 49,39,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
92,18 a 30,28,Masculino,Homem Cis,Preta,Não,Menos de 1 mês,Não se aplica
93,31 a 49,46,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
94,31 a 49,37,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
95,18 a 30,28,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Sim
96,50 a 59,58,Feminino,Mulher Cis,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
97,50 a 59,51,Feminino,Mulher Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
98,18 a 30,23,Feminino,Mulher Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
99,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
100,50 a 59,58,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
101,18 a 30,24,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Sim
102,31 a 49,49,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Sim
103,31 a 49,38,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
104,31 a 49,33,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
105,18 a 30,22,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
106,50 a 59,50,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não
107,31 a 49,38,Masculino,Homem Cis,Branca,Sim,Mais de 10 anos até 15 anos,Não
108,12 a 17,16,Masculino,Homem Cis,Parda,Sim,NS/NR,Não se aplica
109,50 a 59,56,Feminino,Mulher Cis,Parda,Sim,Mais de 15 anos,Não
110,12 a 17,17,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Não se aplica
111,18 a 30,28,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
112,18 a 30,25,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
113,31 a 49,36,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
114,18 a 30,19,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Não se aplica
115,18 a 30,21,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Não se aplica
116,50 a 59,51,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
117,31 a 49,35,Masculino,Homem Cis,Branca,Não,Mais de 10 anos até 15 anos,Não se aplica
118,70 a 79,77,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
119,31 a 49,48,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
120,31 a 49,34,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
121,50 a 59,52,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
122,60 a 69,63,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
123,18 a 30,26,Feminino,Mulher Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
124,31 a 49,47,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
125,31 a 49,43,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
126,31 a 49,36,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
127,18 a 30,29,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
128,31 a 49,47,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não se aplica
129,60 a 69,62,Feminino,Mulher Cis,Parda,Não,Mais de 15 anos,Não se aplica
130,60 a 69,65,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
131,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
132,60 a 69,61,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não
133,18 a 30,30,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
134,18 a 30,27,Feminino,Mulher Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
135,31 a 49,43,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
136,50 a 59,58,Feminino,NS/NR,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
137,31 a 49,40,Masculino,NS/NR,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
138,18 a 30,25,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
139,50 a 59,54,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não
140,31 a 49,34,Feminino,Mulher Cis,Parda,Não,Mais de 6 meses até 1 ano,Sim
141,60 a 69,68,Masculino,Homem Cis,Preta,Não,NS/NR,Não se aplica
142,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
143,18 a 30,28,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
144,31 a 49,37,Masculino,Homem Cis,Preta,Sim,Mais de 15 anos,Não se aplica
145,31 a 49,46,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
146,31 a 49,36,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
147,31 a 49,35,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,NS/NR
148,18 a 30,22,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
149,31 a 49,34,Masculino,Homem Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
150,31 a 49,47,Masculino,Homem Cis,Parda,Sim,Mais de 15 anos,Não se aplica
151,31 a 49,41,Feminino,Mulher Cis,Parda,Sim,Mais de 10 anos até 15 anos,Não se aplica
152,50 a 59,56,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
153,70 a 79,79,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
154,18 a 30,22,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
155,31 a 49,34,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
156,50 a 59,53,Masculino,Homem Cis,Branca,Sim,Mais de 10 anos até 15 anos,Não se aplica
157,31 a 49,31,Feminino,Mulher Cis,Preta,Sim,Menos de 1 mês,Não se aplica
158,18 a 30,29,Feminino,Mulher Cis,Preta,Sim,Menos de 1 mês,Não
159,31 a 49,41,Feminino,Mulher Cis,Preta,Não,Menos de 1 mês,Não se aplica
160,18 a 30,22,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
161,12 a 17,17,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
162,18 a 30,23,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
163,31 a 49,32,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não
164,50 a 59,50,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
165,31 a 49,32,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
166,50 a 59,51,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
167,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não
168,31 a 49,42,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
169,50 a 59,59,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
170,50 a 59,50,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
171,50 a 59,53,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
172,31 a 49,39,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,NS/NR
173,31 a 49,47,Masculino,Homem Cis,Branca,Não,NS/NR,Não
174,31 a 49,41,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
175,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
176,31 a 49,32,Masculino,Homem Cis,Branca,Não,Mais de 10 anos até 15 anos,Não
177,50 a 59,57,Masculino,Homem Cis,Parda,Sim,Mais de 15 anos,Não se aplica
178,31 a 49,31,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
179,60 a 69,67,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
180,31 a 49,39,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
181,31 a 49,44,Feminino,Outro,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
182,31 a 49,40,Masculino,Outro,Branca,Não,Mais de 15 anos,Não se aplica
183,50 a 59,52,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
184,60 a 69,68,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
185,31 a 49,38,Masculino,Homem Cis,Amarela,Não,Mais de 5 ano até 10 anos,Não
186,31 a 49,37,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
187,31 a 49,40,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Sim
188,31 a 49,31,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
189,31 a 49,41,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não
190,50 a 59,57,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
191,60 a 69,61,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não
192,70 a 79,74,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Sim
193,18 a 30,23,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Sim
194,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
195,60 a 69,62,Masculino,Homem Cis,Parda,Sim,Mais de 5 ano até 10 anos,Não se aplica
196,31 a 49,35,Masculino,Homem Cis,Parda,Sim,Mais de 1 mês até 6 meses,Não se aplica
197,18 a 30,23,Feminino,Homem Trans,Branca,Não,Mais de 1 ano até 5 anos,Não
198,31 a 49,42,Masculino,Homem Cis,Branca,Sim,Mais de 1 ano até 5 anos,Não se aplica
199,31 a 49,36,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
200,18 a 30,24,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
201,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
202,31 a 49,40,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não se aplica
203,60 a 69,65,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
204,18 a 30,29,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
205,31 a 49,40,Feminino,Mulher Cis,Preta,Não,Mais de 15 anos,Não se aplica
206,50 a 59,56,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Sim
207,31 a 49,43,Feminino,Mulher Cis,Não identificada,Sim,Mais de 6 meses até 1 ano,Não se aplica
208,18 a 30,21,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
209,12 a 17,17,Masculino,Homem Cis,Preta,Não,Mais de 15 anos,Não se aplica
210,18 a 30,20,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
211,31 a 49,43,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
212,50 a 59,53,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
213,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Sim
214,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não
215,31 a 49,37,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
216,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
217,31 a 49,49,Masculino,Homem Cis,Branca,Sim,Mais de 1 mês até 6 meses,NS/NR
218,18 a 30,20,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
219,12 a 17,15,Feminino,Outro,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
220,31 a 49,49,Masculino,Homem Cis,Preta,Sim,Mais de 15 anos,Sim
221,31 a 49,34,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
222,31 a 49,41,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
223,31 a 49,33,Feminino,Mulher Cis,Branca,Sim,Mais de 15 anos,Não se aplica
224,80 a 89,80,Masculino,Homem Cis,Branca,Não,Mais de 15 anos,Não se aplica
225,31 a 49,38,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
226,18 a 30,30,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
227,31 a 49,44,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
228,60 a 69,60,Feminino,Mulher Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não se aplica
229,18 a 30,25,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
230,18 a 30,29,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
231,12 a 17,14,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
232,31 a 49,40,Feminino,Mulher Cis,Branca,Não,Mais de 10 anos até 15 anos,Não se aplica
233,12 a 17,17,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
234,31 a 49,32,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
235,18 a 30,30,Feminino,Mulher Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
236,50 a 59,58,Masculino,Homem Cis,Parda,Não,Menos de 1 mês,Não
237,50 a 59,58,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
238,31 a 49,46,Masculino,Homem Cis,Branca,Não,Mais de 10 anos até 15 anos,NS/NR
239,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
240,50 a 59,54,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
241,50 a 59,58,Feminino,Mulher Cis,Branca,Não,Mais de 15 anos,Sim
242,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
243,Até 11,4,Masculino,Homem Cis,Branca,Sim,Mais de 1 mês até 6 meses,Não se aplica
244,31 a 49,42,Feminino,Mulher Cis,Branca,Sim,Mais de 1 mês até 6 meses,Não se aplica
245,31 a 49,44,Masculino,Homem Cis,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
246,60 a 69,64,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
247,31 a 49,43,Masculino,Homem Cis,Parda,Sim,Mais de 6 meses até 1 ano,Não se aplica
248,18 a 30,23,Feminino,Mulher Cis,Preta,Não,Mais de 6 meses até 1 ano,Não se aplica
249,31 a 49,48,Feminino,Mulher Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
250,31 a 49,41,Masculino,Homem Cis,Preta,Não,Mais de 1 mês até 6 meses,Não se aplica
251,12 a 17,17,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
252,50 a 59,52,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
253,31 a 49,35,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
254,70 a 79,71,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
255,70 a 79,77,Masculino,Homem Cis,Branca,Não,Mais de 6 meses até 1 ano,Não se aplica
256,31 a 49,31,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
257,18 a 30,25,Feminino,Mulher Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
258,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Não se aplica
259,18 a 30,20,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não se aplica
260,31 a 49,46,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
261,31 a 49,38,Feminino,Mulher Cis,Parda,Não,NS/NR,Não se aplica
262,60 a 69,61,Feminino,Mulher Cis,Parda,NS/NR,NS/NR,Não se aplica
263,18 a 30,26,Masculino,Homem Cis,Preta,Não,Menos de 1 mês,Não se aplica
264,31 a 49,42,Feminino,Mulher Cis,Branca,Não,Mais de 1 ano até 5 anos,Não se aplica
265,50 a 59,53,Feminino,Mulher Cis,Branca,Sim,Mais de 1 ano até 5 anos,Não se aplica
266,18 a 30,21,Masculino,Homem Cis,Parda,Sim,Menos de 1 mês,Não se aplica
267,18 a 30,23,Masculino,Homem Cis,Branca,Sim,NS/NR,Não se aplica
268,50 a 59,55,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não se aplica
269,60 a 69,69,Masculino,Homem Cis,Preta,Sim,NS/NR,Não se aplica
270,18 a 30,29,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
271,31 a 49,41,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
272,50 a 59,52,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Não
273,31 a 49,48,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não se aplica
274,31 a 49,42,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Sim
275,31 a 49,43,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Sim
276,18 a 30,27,Feminino,NS/NR,Preta,Não,Mais de 1 ano até 5 anos,Sim
277,60 a 69,61,Masculino,NS/NR,Branca,Não,Mais de 15 anos,Não se aplica
